"The Great Wilderness","thegreatwilderness.bandcamp.com","facebook.com/tgwband","youtube.com/tgwband","sonicbids.com/band/TheGreatWilderness","","San Jose","","COSTA RICA"
"Kins","","facebook.com/hellokins","","","","Brighton","","UK-ENGLAND"
"Royal Canoe","","facebook.com/RoyalCanoe","youtube.com/royalcanoevideo","","","Winnipeg","MB","CANADA"
"Lost Tapes","flavors.me/losttapes","facebook.com/losttapess","youtube.com/channel/UCciubzW15g7rejUIIBlGL_g","sonicbids.com/band/LostTapes","","Barcelona","","SPAIN"
"Penny & Sparrow","pennyandsparrow.com","facebook.com/pennyandsparrow","youtube.com/pennyandsparrow","sonicbids.com/band/PennySparrow","","Austin","TX",""
"Betunizer","lastfm.es/music/Betunizer","facebook.com/pages/Betunizer/372275170572","youtube.com/watch?v=lMiArcvZX0s","sonicbids.com/band/Betunizer","","Valencia","","SPAIN"
"Money For Rope","cheersquad.com.au","facebook.com/moneyforrope","youtube.com/user/moneyforrope?feature=watch","sonicbids.com/band/MoneyForRope3","","Melbourne ","VIC","AUSTRALIA"
"Death By Unga Bunga","","facebook.com/deathbyungabunga","youtube.com/deathbyungabunga1","","","Oslo","","NORWAY"
"Dråpe","","facebook.com/draapemusic?fref=ts","youtube.com/user/draapemusic","","","Oslo","","NORWAY"
"Atlanter","","facebook.com/atlanternorway","youtu.be/vGqLUF1fwrQ","","","Oslo","","NORWAY"
"Lord Buffalo","","facebook.com/lord.buffalo.band","","","","Austin","TX",""
"Nive Nielsen & The Deer Children","nivenielsen.com","facebook.com/nivenielsenmusic","","sonicbids.com/band/NiveNielsen","","Nuuk","","GREENLAND"
"Gruff Rhys","","facebook.com/gruffingtonpost","","","","Cardiff","","UK-WALES"
"Yung Nation","","facebook.com/officialyungnation","youtube.com/yungnationblast","","","Dallas","TX",""
"League of Extraordinary Gz","","facebook.com/theLOEGz","youtube.com/LOEGzVevo","","","Austin","TX",""
"Dorrough Music","","facebook.com/dorroughmusic","youtube.com/dorroughmusictv","","","Dallas","TX",""
"Urge Overkill","","facebook.com/urgeoverkillmusic","youtube.com/urgeoverkillmusic","","","Chicago","IL",""
"Swear and Shake","","facebook.com/swearandshake","youtube.com/user/SwearandShake","","","Brooklyn","NY",""
"Random (Mega Ran)","","facebook.com/megaranmusic","youtube.com/random2g","","","Phoenix","AZ",""
"Mozes And The Firstborn","","facebook.com/mozesandthefirstborn","youtube.com/user/MozesATFOfficial","","","Eindhoven","","THE NETHERLANDS"
"The Rocketboys","","facebook.com/therocketboys","youtube.com/therocketboys","","","Austin","TX",""
"Wild Child","","facebook.com/wildchildsounds","youtube.com/wildchildsounds","","","Austin","TX",""
"ROXY ROCA","","facebook.com/roxyroca","youtube.com/user/roxyrocamusic","","","Austin","TX",""
"DUNE RATS","dunerats.tv","facebook.com/dunerats","youtube.com/user/duneratsmusic","sonicbids.com/band/DUNERATS","","Brisbane","","AUSTRALIA"
"Will Brennan","","facebook.com/willbrennanwm","youtube.com/thewaywardminds","","","Atlanta","GA",""
"Allysen Callery","allysencallerymusic.com/?page_id=19","facebook.com/allysencallerymusic","youtube.com/playlist?list=PL380A7996A832B12E","sonicbids.com/band/AllysenCallery","","Bristol","RI",""
"Phonalex","phonalex.bandcamp.com","facebook.com/pages/Phonalex/223987367651375","youtube.com/watch?v=J2M_mRKfZ-s","sonicbids.com/band/Phonalex","","Buenos Aires","","ARGENTINA"
"Ben Kenney","benkenney.com","facebook.com/benkenneymusic","","sonicbids.com/band/BenKenney","","Brooklyn","NY",""
"The Spring Standards","thespringstandards.com","facebook.com/pages/The-Spring-Standards/22313881085","youtube.com/user/thespringstandards","sonicbids.com/band/TheSpringStandards","","Brooklyn","NY",""
"Jessica Lea Mayfield","","facebook.com/jessicaleamayfield","","","","Kent","OH",""
"Pedaljets","thepedaljets.com","facebook.com/Pedaljets","youtube.com/watch?v=Yk79q6zJ6dU","sonicbids.com/band/PEDALJETS","","Kansas City","MO",""
"Taj Weekes & Adowa","tajweekes.com","facebook.com/tajandadowa","youtube.com/user/tajweekes","sonicbids.com/band/tajweekesandadowa","","New York","NY",""
"AEGES","","facebook.com/aegesband","youtube.com/user/AEGESband","","","Los Angeles","CA",""
"Kurt Nilsen","kurtnilsen.com","facebook.com/KurtNilsenOfficial","youtube.com/watch?v=Fe1DUzRRDW4","sonicbids.com/band/KurtNilsen","","Bergen","","NORWAY"
"Little Boots","","facebook.com/littleboots","youtube.com/user/littlebootsvideos","","","London","","UK-ENGLAND"
"Elias Haslanger","","facebook.com/eliashaslanger","youtube.com/cherrywoodrecords","","","Austin","TX",""
"Grace London","gracelondonmusic.com","facebook.com/gracelondonmusic","youtube.com/gracelondonmusic","sonicbids.com/band/GraceLondonMusic","","Austin","TX",""
"Lincoln Durham","","facebook.com/lincolndurhammusic","youtube.com/lincolndurham","","","Austin","TX",""
"Robert Ellis","","facebook.com/robertellismusic","youtube.com/user/RobertEllisOfficial?feature=watch","","","Houston","TX",""
"Howe Gelb","","facebook.com/howegelbmusic","","","","Tucson","AZ",""
"Hamell On Trial","","facebook.com/hamellontrial","","","","Ossining","NY",""
"Wild Moccasins","","facebook.com/wildmoccasins","youtube.com/watch?v=i7vcP7ZFXu4","","","Houston","TX",""
"Yip Deceiver","","facebook.com/yipdeceiver","","","","Athens","GA",""
"Blondfire","","facebook.com/blondfire","youtube.com/user/blondfiremusic","","","Los Angeles","CA",""
"Divers","","","youtube.com/watch?v=o8H5N3TAL8U","","","Portland","OR",""
"Mibbs (of Pac Div)","mibbsovereverything.com","facebook.com/MibbsOverEverything","youtube.com/user/MibbsOE/about","sonicbids.com/band/MibbsofPacDiv","","Los Angeles","CA",""
"Ski Lodge","","facebook.com/skilodgeee","youtube.com/skilodgemusic","","","New York","NY",""
"Dana Falconberry","","facebook.com/danafalconberry","","","","Austin","TX",""
"DeLorean","","facebook.com/iamdeloreanmusic","youtube.com/iamdeloreanmusic","","","Houston","TX",""
"Pick A Piper","spin.com/articles/pick-a-piper-album-stream-mint-caribou/","facebook.com/pickapiper","youtube.com/watch?v=S0H3jE4V0rA","sonicbids.com/band/pickapiper","","Toronto","ON","CANADA"
"Calvin Love","","Facebook.com/iamcalvinlove","","","","Edmonton","AB","CANADA"
"Deap Vally","","facebook.com/deapvally","youtube.com/user/deapvally4eva","","","San Fernando Valley","CA",""
"People of Letters feat. Mike Love, Steve Roggenbuck, Thor Harris, Emily Kinney, Marian Mereba and Pony Boy","","facebook.com/pages/Women-Of-Letters/354205651666","","","","Melbourne","VIC","AUSTRALIA"
"Bo Ningen","","facebook.com/pages/Bo-Ningen-official/171019199641365","","","","London","","UK-ENGLAND"
"Turin Brakes","turinbrakes.com","facebook.com/turinbrakes","youtube.com/user/theturinbrakes","sonicbids.com/band/TurinBrakes2","","London","","UK-ENGLAND"
"Nightmare Air","nightmareairmusic.com/epk","facebook.com/nightmareairmusic","youtube.com/user/nightmareairmusic","sonicbids.com/band/NightmareAir","","Los Angeles","CA",""
"Gentlemen Hall","gentlemenhall.com","facebook.com/gentlemenhall","youtube.com/user/gentlemenhallvevo","sonicbids.com/band/GentlemenHall","","Boston","MA",""
"The Heatwave","theheatwave.co.uk","facebook.com/TheHeatwaveUK","youtube.com/heatwavelondon","sonicbids.com/band/TheHeatwave","","London","","UK-ENGLAND"
"Mono Inc.","nocut.de/cms/artist/mono-inc/","facebook.com/monoinc","youtube.com/monoinc","sonicbids.com/band/MONOINC2","","Hamburg","","GERMANY"
"Love X Stereo","lovexstereo.com","facebook.com/lovexstereo","youtube.com/lovexstereo","sonicbids.com/band/LoveXStereo","","Seoul City","","SOUTH KOREA"
"Vida Boulevard","","facebook.com/vidaboulevard","youtube.com/vidaboulevard","","","Guadalajara","","MEXICO"
"Kira Kira","kirakira.is","facebook.com/kirakiramusik","youtube.com/kirakirafilms","sonicbids.com/band/KiraKira2","","Reykjavik","","ICELAND"
"Wolf Alice","","facebook.com/wolfalicemusic","youtube.com/user/wolfalicevideos/","","","London","","UK-ENGLAND"
"INVSN","","facebook.com/invsnmusic","youtube.com/user/INVSNVEVO","","","Umea","","SWEDEN"
"Hyenaz","hyenaz.com","facebook.com/hyenazhyenaz","","sonicbids.com/band/HYENAZ","","Berlin","","GERMANY"
"Lovely Bad Things","thelovelybadthings.com","facebook.com/lovelybadthings","youtube.com/lovelybadthings","sonicbids.com/band/LovelyBadThings","","La Mirada","CA",""
"Aer","","theaermusic","theaermusic","","","Wayland","MA",""
"Soldout","soldout.be","facebook.com/wearesoldout","youtube.com/wearesoldout","sonicbids.com/band/wearesoldout","","Brussels","","BELGIUM"
"Like Swimming","","facebook.com/WeLikeSwimming","youtube.com/likeswimmingmusic","","","Stockholm","","SWEDEN"
"WonFu","Wonfu.com","facebook.com/wonfu","youtube.com/channel/UCZvQ_io8J1qHHkTDl31fCcA","sonicbids.com/band/wonfu2","","Taipei City","","TAIWAN"
"Neulore","neulore.com","facebook.com/neulore","youtube.com/neulore","sonicbids.com/band/Neuloremusic","","Nashville","TN",""
"London Grammar","","facebook.com/londongrammar","youtube.com/londongrammar","","","London","","UK-ENGLAND"
"Sweet Baboo","sweetbaboo.co.uk","facebook.com/sweetbaboomusic","youtube.com/watch?v=zMQ8h42HOJU","sonicbids.com/band/SweetBaboo","","Cardiff","","UK-WALES"
"Casual Sex ","soundcloud.com/moshimoshimusic/casual-sex-soft-school-1","facebook.com/casualsexmusic","","sonicbids.com/band/CasualSex3","","Glasgow","","UK-SCOTLAND"
"Splashh","","facebook.com/splashh.band","","","","London","","UK-ENGLAND"
"Jungle","","https://www.facebook.com/jungle4eva?directed_target_id=0","youtube.com/user/4evajungle?feature=watch","","","London","","UK-ENGLAND"
"The Knocks","","facebook.com/theknocksnyc","youtube.com/artist/the-knocks","","","New York","NY",""
"PUJOL","","facebook.com/pujoldotcom","youtube.com/saddlecreekrecords","","","Nashville","TN",""
"Glass Animals","","facebook.com/glassanimals","youtube.com/user/glassanimalsband","","","Oxford","","UK-ENGLAND"
"Aloe Blacc","","facebook.com/aloeblacc","youtube.com/aloeblacc","","","Los Angeles","CA",""
"J. Roddy Walston & The Business","","facebook.com/jroddywalston","youtube.com/user/jroddywalston?feature=watch","","","Baltimore","MD",""
"K Camp","","facebook.com/kcamp427","youtube.com/kcamp427","","","Atlanta","GA",""
"Rich Robinson Band","","Facebook.com/richrobinson","youtube.com/richrobinsonband","","","Atlanta","GA",""
"Dudu Tassa","","facebook.com/DuduTassa","youtube.com/channel/UCOTix3HaGLupE8voaOv5Mnw","","","Tel Aviv","","ISRAEL"
"Nicole Atkins","","www.facebook.com/NicoleAtkinsOfficial","www.youtube.com/nicoleatkins","","","Asbury","NJ",""
"Little Jesus","","facebook.com/thelittlejesus","youtube.com/user/LittleJesusLJ/videos","","","Mexico City","","MEXICO"
"Tim Chaisson","timchaisson.com","facebook.com/timchaisson","youtube.com/user/TimChaissonMusic","sonicbids.com/band/TimChaisson","","Charlottetown","PE","CANADA"
"Lindsey Stirling","","facebook.com/lindseystirlingmusic","youtube.com/lindseystomp","","","Arizona","AZ",""
"Mon Laferte","monlaferte.com","facebook.com/monlaferte","youtube.com/monlaferte","sonicbids.com/band/MonLaferte","","Escandon II Seccion","","MEXICO"
"East Forest","eastforest.org","facebook.com/EastForestMusic","youtube.com/user/eastforestmusic","sonicbids.com/band/EastForest","","Portland","OR",""
"Jeff Black","jeffblack.com","facebook.com/jeffblackmusicpage","youtube.com/jeffblacklotosnile","sonicbids.com/band/jeffblackmusic","","Nashville","TN",""
"Random Recipe","randomrecipe.ca","facebook.com/randomrecipe","youtube.com/randomrecipe","sonicbids.com/band/RandomRecipe","","Montreal","QC","CANADA"
"Kaytranada","","facebook.com/kaytranada","","","","Montreal","QC","CANADA"
"Belle Adair","","facebook.com/belleadair","youtube.com/channel/UCB3HponTCIwkQHSb8cguNuQ","","","Muscle Shoals","AL",""
"Morning Parade","","facebook.com/morningparade","youtube.com/channel/UCHaYbuj9k8RFPr3-S9pKDFw","","","Essex","","UK-ENGLAND"
"Magic Man","","facebook.com/MagicManMusic","youtube.com/magicmanmakesmusic","","","Boston","MA",""
"Dumb Waiter","dumbwaiterva.bandcamp.com/","facebook.com/dumbwaitermusic","youtube.com/watch?v=HKGPdPyEq_I","sonicbids.com/band/DumbWaiter","","Richmond","VA",""
"Danny Schmidt","dannyschmidt.com","","","sonicbids.com/band/DannySchmidt","","Austin","TX",""
"Jonathan Toubin","","facebook.com/pages/New-York-Night-Train/47167209984","youtube.com/user/newyorknighttrain","","","New York","NY",""
"Typhoon","","facebook.com/wearetyphoon","","","","Portland","OR",""
"The Black and White Years","","facebook.com/theblackandwhiteyears","","","","Austin","TX",""
"Mirror Travel","","facebook.com/mirrortravel","youtube.com/mirrortravel","","","Austin","TX",""
"GRMLN","","facebook.com/GRMLNband","","","","Santa Cruz","CA",""
"Saint Rich","","facebook.com/SaintRichOfficial","","","","Fredon","NJ",""
"OBN III's","","facebook.com/OBNIIIs","","","","Austin","TX",""
"Vockah Redu","","facebook.com/pages/Vockah-Redu-Fan-Page/366489257900?ref=ts","","","","New Orleans","LA",""
